ORGANIZATION_ID,REPORT_UNIT_ID,REPORTING_UNIT_NAME,LEVEL_2_REPORTING_UNIT_NAME,LEVEL_2_REPORTING_UNIT_ID,LEVEL_3_REPORTING_UNIT_NAME,LEVEL_3_REPORTING_UNIT_ID
CA-DWR,DAU00125,DAU00125,Upper Klamath,101,North Coast,1
CA-DWR,DAU00147,DAU00147,Upper Klamath,101,North Coast,1
CA-DWR,DAU00247,DAU00247,Upper Klamath,101,North Coast,1
CA-DWR,DAU00347,DAU00347,Upper Klamath,101,North Coast,1
CA-DWR,DAU00447,DAU00447,Upper Klamath,101,North Coast,1
CA-DWR,DAU00712,DAU00712,Lower Klamath,102,North Coast,1
CA-DWR,DAU00753,DAU00753,Lower Klamath,102,North Coast,1
CA-DWR,DAU01008,DAU01008,Lower Klamath,102,North Coast,1
CA-DWR,DAU01012,DAU01012,Lower Klamath,102,North Coast,1
CA-DWR,DAU01047,DAU01047,Lower Klamath,102,North Coast,1
CA-DWR,DAU01408,DAU01408,Lower Klamath,102,North Coast,1
CA-DWR,DAU01723,DAU01723,Coastal,103,North Coast,1
CA-DWR,DAU01823,DAU01823,Coastal,103,North Coast,1
CA-DWR,DAU01923,DAU01923,Coastal,103,North Coast,1
CA-DWR,DAU01949,DAU01949,Coastal,103,North Coast,1
CA-DWR,DAU02012,DAU02012,Coastal,103,North Coast,1
CA-DWR,DAU02112,DAU02112,Coastal,103,North Coast,1
CA-DWR,DAU02153,DAU02153,Coastal,103,North Coast,1
CA-DWR,DAU02312,DAU02312,Coastal,103,North Coast,1
CA-DWR,DAU02323,DAU02323,Coastal,103,North Coast,1
CA-DWR,DAU02511,DAU02511,Coastal,103,North Coast,1
CA-DWR,DAU02512,DAU02512,Coastal,103,North Coast,1
CA-DWR,DAU02517,DAU02517,Coastal,103,North Coast,1
CA-DWR,DAU02523,DAU02523,Coastal,103,North Coast,1
CA-DWR,DAU02553,DAU02553,Coastal,103,North Coast,1
CA-DWR,DAU02712,DAU02712,Coastal,103,North Coast,1
CA-DWR,DAU02723,DAU02723,Coastal,103,North Coast,1
CA-DWR,DAU02812,DAU02812,Coastal,103,North Coast,1
CA-DWR,DAU03012,DAU03012,Coastal,103,North Coast,1
CA-DWR,DAU03053,DAU03053,Coastal,103,North Coast,1
CA-DWR,DAU03212,DAU03212,Coastal,103,North Coast,1
CA-DWR,DAU03549,DAU03549,Russian River,104,North Coast,1
CA-DWR,DAU03649,DAU03649,Russian River,104,North Coast,1
CA-DWR,DAU03721,DAU03721,Russian River,104,North Coast,1
CA-DWR,DAU03749,DAU03749,Russian River,104,North Coast,1
CA-DWR,DAU03821,DAU03821,North Bay,201,San Francisco Bay,2
CA-DWR,DAU03849,DAU03849,North Bay,201,San Francisco Bay,2
CA-DWR,DAU04028,DAU04028,North Bay,201,San Francisco Bay,2
CA-DWR,DAU04048,DAU04048,North Bay,201,San Francisco Bay,2
CA-DWR,DAU04128,DAU04128,North Bay,201,San Francisco Bay,2
CA-DWR,DAU04148,DAU04148,North Bay,201,San Francisco Bay,2
CA-DWR,DAU04241,DAU04241,South Bay,202,San Francisco Bay,2
CA-DWR,DAU04244,DAU04244,South Bay,202,San Francisco Bay,2
CA-DWR,DAU04338,DAU04338,South Bay,202,San Francisco Bay,2
CA-DWR,DAU04341,DAU04341,South Bay,202,San Francisco Bay,2
CA-DWR,DAU04443,DAU04443,South Bay,202,San Francisco Bay,2
CA-DWR,DAU04501,DAU04501,South Bay,202,San Francisco Bay,2
CA-DWR,DAU04507,DAU04507,South Bay,202,San Francisco Bay,2
CA-DWR,DAU04543,DAU04543,South Bay,202,San Francisco Bay,2
CA-DWR,DAU04607,DAU04607,South Bay,202,San Francisco Bay,2
CA-DWR,DAU04701,DAU04701,South Bay,202,San Francisco Bay,2
CA-DWR,DAU04707,DAU04707,South Bay,202,San Francisco Bay,2
CA-DWR,DAU04827,DAU04827,Northern,301,Central Coast,3
CA-DWR,DAU04927,DAU04927,Northern,301,Central Coast,3
CA-DWR,DAU05027,DAU05027,Northern,301,Central Coast,3
CA-DWR,DAU05127,DAU05127,Northern,301,Central Coast,3
CA-DWR,DAU05227,DAU05227,Northern,301,Central Coast,3
CA-DWR,DAU05327,DAU05327,Northern,301,Central Coast,3
CA-DWR,DAU05427,DAU05427,Northern,301,Central Coast,3
CA-DWR,DAU05435,DAU05435,Northern,301,Central Coast,3
CA-DWR,DAU05527,DAU05527,Northern,301,Central Coast,3
CA-DWR,DAU05627,DAU05627,Northern,301,Central Coast,3
CA-DWR,DAU05727,DAU05727,Northern,301,Central Coast,3
CA-DWR,DAU05827,DAU05827,Northern,301,Central Coast,3
CA-DWR,DAU05835,DAU05835,Northern,301,Central Coast,3
CA-DWR,DAU05927,DAU05927,Northern,301,Central Coast,3
CA-DWR,DAU05935,DAU05935,Northern,301,Central Coast,3
CA-DWR,DAU05944,DAU05944,Northern,301,Central Coast,3
CA-DWR,DAU06041,DAU06041,Northern,301,Central Coast,3
CA-DWR,DAU06044,DAU06044,Northern,301,Central Coast,3
CA-DWR,DAU06135,DAU06135,Northern,301,Central Coast,3
CA-DWR,DAU06143,DAU06143,Northern,301,Central Coast,3
CA-DWR,DAU06235,DAU06235,Northern,301,Central Coast,3
CA-DWR,DAU06243,DAU06243,Northern,301,Central Coast,3
CA-DWR,DAU06335,DAU06335,Northern,301,Central Coast,3
CA-DWR,DAU06343,DAU06343,Northern,301,Central Coast,3
CA-DWR,DAU06435,DAU06435,Northern,301,Central Coast,3
CA-DWR,DAU06540,DAU06540,Southern,302,Central Coast,3
CA-DWR,DAU06640,DAU06640,Southern,302,Central Coast,3
CA-DWR,DAU06740,DAU06740,Southern,302,Central Coast,3
CA-DWR,DAU06840,DAU06840,Southern,302,Central Coast,3
CA-DWR,DAU06940,DAU06940,Southern,302,Central Coast,3
CA-DWR,DAU07040,DAU07040,Southern,302,Central Coast,3
CA-DWR,DAU07142,DAU07142,Southern,302,Central Coast,3
CA-DWR,DAU07240,DAU07240,Southern,302,Central Coast,3
CA-DWR,DAU07342,DAU07342,Southern,302,Central Coast,3
CA-DWR,DAU07442,DAU07442,Southern,302,Central Coast,3
CA-DWR,DAU07542,DAU07542,Southern,302,Central Coast,3
CA-DWR,DAU07556,DAU07556,Southern,302,Central Coast,3
CA-DWR,DAU07642,DAU07642,Southern,302,Central Coast,3
CA-DWR,DAU07656,DAU07656,Southern,302,Central Coast,3
CA-DWR,DAU08142,DAU08142,Santa Clara,401,South Coast,4
CA-DWR,DAU08156,DAU08156,Santa Clara,401,South Coast,4
CA-DWR,DAU08319,DAU08319,Santa Clara,401,South Coast,4
CA-DWR,DAU08719,DAU08719,Metropolitan LA,402,South Coast,4
CA-DWR,DAU08919,DAU08919,Metropolitan LA,402,South Coast,4
CA-DWR,DAU09019,DAU09019,Metropolitan LA,402,South Coast,4
CA-DWR,DAU09219,DAU09219,Metropolitan LA,402,South Coast,4
CA-DWR,DAU09236,DAU09236,Metropolitan LA,402,South Coast,4
CA-DWR,DAU09619,DAU09619,Santa Ana,403,South Coast,4
CA-DWR,DAU09630,DAU09630,Santa Ana,403,South Coast,4
CA-DWR,DAU09633,DAU09633,Santa Ana,403,South Coast,4
CA-DWR,DAU09636,DAU09636,Santa Ana,403,South Coast,4
CA-DWR,DAU09830,DAU09830,Santa Ana,403,South Coast,4
CA-DWR,DAU09833,DAU09833,Santa Ana,403,South Coast,4
CA-DWR,DAU10033,DAU10033,Santa Ana,403,South Coast,4
CA-DWR,DAU10036,DAU10036,Santa Ana,403,South Coast,4
CA-DWR,DAU10430,DAU10430,Santa Ana,403,South Coast,4
CA-DWR,DAU10433,DAU10433,Santa Ana,403,South Coast,4
CA-DWR,DAU11033,DAU11033,San Diego,404,South Coast,4
CA-DWR,DAU11430,DAU11430,San Diego,404,South Coast,4
CA-DWR,DAU11433,DAU11433,San Diego,404,South Coast,4
CA-DWR,DAU12037,DAU12037,San Diego,404,South Coast,4
CA-DWR,DAU13018,DAU13018,Shasta - Pit,501,Sacramento River,5
CA-DWR,DAU13025,DAU13025,Shasta - Pit,501,Sacramento River,5
CA-DWR,DAU13218,DAU13218,Shasta - Pit,501,Sacramento River,5
CA-DWR,DAU13225,DAU13225,Shasta - Pit,501,Sacramento River,5
CA-DWR,DAU13418,DAU13418,Shasta - Pit,501,Sacramento River,5
CA-DWR,DAU13425,DAU13425,Shasta - Pit,501,Sacramento River,5
CA-DWR,DAU13445,DAU13445,Shasta - Pit,501,Sacramento River,5
CA-DWR,DAU13447,DAU13447,Shasta - Pit,501,Sacramento River,5
CA-DWR,DAU13645,DAU13645,Shasta - Pit,501,Sacramento River,5
CA-DWR,DAU13647,DAU13647,Shasta - Pit,501,Sacramento River,5
CA-DWR,DAU13745,DAU13745,Upper Northwest Valley,502,Sacramento River,5
CA-DWR,DAU13752,DAU13752,Upper Northwest Valley,502,Sacramento River,5
CA-DWR,DAU13906,DAU13906,Upper Northwest Valley,502,Sacramento River,5
CA-DWR,DAU13911,DAU13911,Upper Northwest Valley,502,Sacramento River,5
CA-DWR,DAU13952,DAU13952,Upper Northwest Valley,502,Sacramento River,5
CA-DWR,DAU14145,DAU14145,Lower Northwest Valley,503,Sacramento River,5
CA-DWR,DAU14152,DAU14152,Lower Northwest Valley,503,Sacramento River,5
CA-DWR,DAU14211,DAU14211,Lower Northwest Valley,503,Sacramento River,5
CA-DWR,DAU14252,DAU14252,Lower Northwest Valley,503,Sacramento River,5
CA-DWR,DAU14345,DAU14345,Northeast Valley,504,Sacramento River,5
CA-DWR,DAU14352,DAU14352,Northeast Valley,504,Sacramento River,5
CA-DWR,DAU14404,DAU14404,Northeast Valley,504,Sacramento River,5
CA-DWR,DAU14452,DAU14452,Northeast Valley,504,Sacramento River,5
CA-DWR,DAU14545,DAU14545,Northeast Valley,504,Sacramento River,5
CA-DWR,DAU14552,DAU14552,Northeast Valley,504,Sacramento River,5
CA-DWR,DAU14704,DAU14704,Northeast Valley,504,Sacramento River,5
CA-DWR,DAU14752,DAU14752,Northeast Valley,504,Sacramento River,5
CA-DWR,DAU15404,DAU15404,Southeast,508,Sacramento River,5
CA-DWR,DAU15418,DAU15418,Southeast,508,Sacramento River,5
CA-DWR,DAU15432,DAU15432,Southeast,508,Sacramento River,5
CA-DWR,DAU15446,DAU15446,Southeast,508,Sacramento River,5
CA-DWR,DAU15629,DAU15629,Southeast,508,Sacramento River,5
CA-DWR,DAU15631,DAU15631,Southeast,508,Sacramento River,5
CA-DWR,DAU15632,DAU15632,Southeast,508,Sacramento River,5
CA-DWR,DAU15646,DAU15646,Southeast,508,Sacramento River,5
CA-DWR,DAU15658,DAU15658,Southeast,508,Sacramento River,5
CA-DWR,DAU15802,DAU15802,Southeast,508,Sacramento River,5
CA-DWR,DAU15803,DAU15803,Southeast,508,Sacramento River,5
CA-DWR,DAU15809,DAU15809,Southeast,508,Sacramento River,5
CA-DWR,DAU15829,DAU15829,Southeast,508,Sacramento River,5
CA-DWR,DAU15831,DAU15831,Southeast,508,Sacramento River,5
CA-DWR,DAU15834,DAU15834,Southeast,508,Sacramento River,5
CA-DWR,DAU15904,DAU15904,Southeast,508,Sacramento River,5
CA-DWR,DAU16029,DAU16029,Southeast,508,Sacramento River,5
CA-DWR,DAU16058,DAU16058,Southeast,508,Sacramento River,5
CA-DWR,DAU16131,DAU16131,Southeast,508,Sacramento River,5
CA-DWR,DAU16257,DAU16257,Central Basin West,509,Sacramento River,5
CA-DWR,DAU16306,DAU16306,Colusa Basin,506,Sacramento River,5
CA-DWR,DAU16311,DAU16311,Colusa Basin,506,Sacramento River,5
CA-DWR,DAU16357,DAU16357,Colusa Basin,506,Sacramento River,5
CA-DWR,DAU16406,DAU16406,Colusa Basin,506,Sacramento River,5
CA-DWR,DAU16411,DAU16411,Colusa Basin,506,Sacramento River,5
CA-DWR,DAU16451,DAU16451,Colusa Basin,506,Sacramento River,5
CA-DWR,DAU16457,DAU16457,Colusa Basin,506,Sacramento River,5
CA-DWR,DAU16551,DAU16551,Butte - Sutter - Yuba,507,Sacramento River,5
CA-DWR,DAU16604,DAU16604,Butte - Sutter - Yuba,507,Sacramento River,5
CA-DWR,DAU16611,DAU16611,Butte - Sutter - Yuba,507,Sacramento River,5
CA-DWR,DAU16651,DAU16651,Butte - Sutter - Yuba,507,Sacramento River,5
CA-DWR,DAU16704,DAU16704,Butte - Sutter - Yuba,507,Sacramento River,5
CA-DWR,DAU16706,DAU16706,Butte - Sutter - Yuba,507,Sacramento River,5
CA-DWR,DAU16711,DAU16711,Butte - Sutter - Yuba,507,Sacramento River,5
CA-DWR,DAU16804,DAU16804,Butte - Sutter - Yuba,507,Sacramento River,5
CA-DWR,DAU16851,DAU16851,Butte - Sutter - Yuba,507,Sacramento River,5
CA-DWR,DAU17004,DAU17004,Butte - Sutter - Yuba,507,Sacramento River,5
CA-DWR,DAU17151,DAU17151,Butte - Sutter - Yuba,507,Sacramento River,5
CA-DWR,DAU17158,DAU17158,Butte - Sutter - Yuba,507,Sacramento River,5
CA-DWR,DAU17209,DAU17209,Central Basin East,511,Sacramento River,5
CA-DWR,DAU17234,DAU17234,Central Basin East,511,Sacramento River,5
CA-DWR,DAU17251,DAU17251,Central Basin East,511,Sacramento River,5
CA-DWR,DAU17258,DAU17258,Central Basin East,511,Sacramento River,5
CA-DWR,DAU17334,DAU17334,Central Basin East,511,Sacramento River,5
CA-DWR,DAU17406,DAU17406,Southwest,505,Sacramento River,5
CA-DWR,DAU17417,DAU17417,Southwest,505,Sacramento River,5
CA-DWR,DAU17457,DAU17457,Southwest,505,Sacramento River,5
CA-DWR,DAU17517,DAU17517,Southwest,505,Sacramento River,5
CA-DWR,DAU17528,DAU17528,Southwest,505,Sacramento River,5
CA-DWR,DAU17548,DAU17548,Southwest,505,Sacramento River,5
CA-DWR,DAU17602,DAU17602,Sierra Foothills,604,San Joaquin River,6
CA-DWR,DAU17603,DAU17603,Sierra Foothills,604,San Joaquin River,6
CA-DWR,DAU17605,DAU17605,Sierra Foothills,604,San Joaquin River,6
CA-DWR,DAU17609,DAU17609,Sierra Foothills,604,San Joaquin River,6
CA-DWR,DAU17634,DAU17634,Sierra Foothills,604,San Joaquin River,6
CA-DWR,DAU18034,DAU18034,Eastern Valley Floor,603,San Joaquin River,6
CA-DWR,DAU18103,DAU18103,Eastern Valley Floor,603,San Joaquin River,6
CA-DWR,DAU18105,DAU18105,Eastern Valley Floor,603,San Joaquin River,6
CA-DWR,DAU18239,DAU18239,Eastern Valley Floor,603,San Joaquin River,6
CA-DWR,DAU18450,DAU18450,Eastern Valley Floor,603,San Joaquin River,6
CA-DWR,DAU18501,DAU18501,San Joaquin Delta,602,San Joaquin River,6
CA-DWR,DAU18507,DAU18507,San Joaquin Delta,602,San Joaquin River,6
CA-DWR,DAU18539,DAU18539,San Joaquin Delta,602,San Joaquin River,6
CA-DWR,DAU18634,DAU18634,Sacramento Delta,510,Sacramento River,5
CA-DWR,DAU18648,DAU18648,Sacramento Delta,510,Sacramento River,5
CA-DWR,DAU18657,DAU18657,Sacramento Delta,510,Sacramento River,5
CA-DWR,DAU19148,DAU19148,Central Basin West,509,Sacramento River,5
CA-DWR,DAU19157,DAU19157,Central Basin West,509,Sacramento River,5
CA-DWR,DAU19201,DAU19201,Upper West Side Uplands,601,San Joaquin River,6
CA-DWR,DAU19207,DAU19207,Upper West Side Uplands,601,San Joaquin River,6
CA-DWR,DAU19239,DAU19239,Upper West Side Uplands,601,San Joaquin River,6
CA-DWR,DAU19402,DAU19402,Sierra Foothills,604,San Joaquin River,6
CA-DWR,DAU19405,DAU19405,Sierra Foothills,604,San Joaquin River,6
CA-DWR,DAU19455,DAU19455,Sierra Foothills,604,San Joaquin River,6
CA-DWR,DAU19555,DAU19555,Sierra Foothills,604,San Joaquin River,6
CA-DWR,DAU19605,DAU19605,Sierra Foothills,604,San Joaquin River,6
CA-DWR,DAU19624,DAU19624,Sierra Foothills,604,San Joaquin River,6
CA-DWR,DAU19650,DAU19650,Sierra Foothills,604,San Joaquin River,6
CA-DWR,DAU19655,DAU19655,Sierra Foothills,604,San Joaquin River,6
CA-DWR,DAU19720,DAU19720,East Side Uplands,610,San Joaquin River,6
CA-DWR,DAU19722,DAU19722,East Side Uplands,610,San Joaquin River,6
CA-DWR,DAU19822,DAU19822,East Side Uplands,610,San Joaquin River,6
CA-DWR,DAU19824,DAU19824,East Side Uplands,610,San Joaquin River,6
CA-DWR,DAU19850,DAU19850,East Side Uplands,610,San Joaquin River,6
CA-DWR,DAU19920,DAU19920,East Side Uplands,610,San Joaquin River,6
CA-DWR,DAU19922,DAU19922,East Side Uplands,610,San Joaquin River,6
CA-DWR,DAU20020,DAU20020,East Side Uplands,610,San Joaquin River,6
CA-DWR,DAU20022,DAU20022,East Side Uplands,610,San Joaquin River,6
CA-DWR,DAU20120,DAU20120,East Side Uplands,610,San Joaquin River,6
CA-DWR,DAU20122,DAU20122,East Side Uplands,610,San Joaquin River,6
CA-DWR,DAU20222,DAU20222,East Side Uplands,610,San Joaquin River,6
CA-DWR,DAU20224,DAU20224,East Side Uplands,610,San Joaquin River,6
CA-DWR,DAU20320,DAU20320,East Side Uplands,610,San Joaquin River,6
CA-DWR,DAU20410,DAU20410,East Side Uplands,610,San Joaquin River,6
CA-DWR,DAU20420,DAU20420,East Side Uplands,610,San Joaquin River,6
CA-DWR,DAU20539,DAU20539,Upper Valley East Side,607,San Joaquin River,6
CA-DWR,DAU20639,DAU20639,Upper Valley East Side,607,San Joaquin River,6
CA-DWR,DAU20650,DAU20650,Upper Valley East Side,607,San Joaquin River,6
CA-DWR,DAU20750,DAU20750,Upper Valley East Side,607,San Joaquin River,6
